"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"DZ Dezigns","Everyday Tee","DZ Dezigns",UPI26061887621,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Everyday1_da298f32-ef0d-45e2-b293-cb688955ed91.jpg?v=1785898848,"DELTA ZETA"
"DZ Dezigns","Foxy Crew","DZ Dezigns",UPI2606184314,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Foxy-Crew-2_54ffa743-42c4-415f-a427-61c314be7eb9.jpg?v=1785898850,"DELTA ZETA"
"DZ Dezigns","Foxy Ringer","DZ Dezigns",UPI2606182362,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Foxy-Ringer-1_59c2dbc2-2345-4e2f-a1a6-7b3421f5dfe6.jpg?v=1785898853,"DELTA ZETA"
"DZ Dezigns","Independence Crew","DZ Dezigns",UPI26061832741,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Independence_Crew_7d6b51f2-2106-46dc-8010-9e36f7b551a2.jpg?v=1785898854,"DELTA ZETA"
"DZ Dezigns","Independence Tee","DZ Dezigns",UPI2606187930,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Independence-Tee_d70a72eb-afe6-4325-9631-e696118f40fb.jpg?v=1785898857,"DELTA ZETA"
"DZ Dezigns","Jagger Tee","DZ Dezigns",UPI2606181514,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Jagger-2_733b321e-604b-493d-a0bc-9ab570770f9d.jpg?v=1785898859,"DELTA ZETA"
"DZ Dezigns","Juicy Tee","DZ Dezigns",UPI2606187866,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Juicy_f92276f9-d013-4f25-b69b-33c78badadeb.jpg?v=1785898861,"DELTA ZETA"
"DZ Dezigns","Lift Off Tee","DZ Dezigns",UPI2606184666,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-LiftOff-1_669f00e3-298b-487b-b812-29e97eeb042f.jpg?v=1785898863,"DELTA ZETA"
"DZ Dezigns","Melted Tee","DZ Dezigns",UPI2606185610,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Melting1_0487dd3c-5651-4ac9-a50b-4fa9c187db73.jpg?v=1785898865,"DELTA ZETA"
"DZ Dezigns","Member Crew","DZ Dezigns",UPI2606183210,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-MemberCrew-1_b799d782-1c57-469d-80ac-5d7fc688fc70.jpg?v=1785898867,"DELTA ZETA"
"DZ Dezigns","Mojave Moon Tee","DZ Dezigns",UPI2606185370,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-MojaveMoon1_973a2b15-e577-49ef-823d-e48e2a27dc31.jpg?v=1785898869,"DELTA ZETA"
"DZ Dezigns","Mountain Doodle Tee","DZ Dezigns",UPI2606180026,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-MountainDoodle-1_9621d27a-c2d0-437c-bd8a-62388b55bc38.jpg?v=1785898872,"DELTA ZETA"
"DZ Dezigns","Mystic Crewneck","DZ Dezigns",UPI2606187450,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-MysticCrew-2_5df18f00-d15c-43fe-beeb-dc2960d78174.jpg?v=1785898874,"DELTA ZETA"
"DZ Dezigns","Novel Crew","DZ Dezigns",UPI26061803462,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Novel-1_1130c687-1efe-4651-886d-ab67b9e49a47.jpg?v=1785898876,"DELTA ZETA"
"DZ Dezigns","OG Tee","DZ Dezigns",UPI2606184842,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-OGTee-1_0b4a1b10-9cb6-4f63-a59a-68dcd9b76573.jpg?v=1785898878,"DELTA ZETA"
"DZ Dezigns","Pixie Tee","DZ Dezigns",UPI2606185306,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-PixieTee_ba3d6a41-7ab9-43ef-b2a3-8a5721ce2c2f.jpg?v=1785898883,"DELTA ZETA"
"DZ Dezigns","Primary Tee","DZ Dezigns",UPI2606180250,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Primary1_d308a46d-75d2-419f-8c48-3012cd120066.jpg?v=1785898885,"DELTA ZETA"
"DZ Dezigns","Rainbow Tee","DZ Dezigns",UPI26061854821,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-RainbowTee-1_59e5c788-de4a-41fa-b480-ecefa94ab92c.jpg?v=1785898890,"DELTA ZETA"
"DZ Dezigns","Retro Crewneck","DZ Dezigns",UPI2606186394,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-RetroCrew-1_dd2bcfa5-eb19-4e94-8f48-0bdf292349e3.jpg?v=1785898892,"DELTA ZETA"
"DZ Dezigns","Retro Script Tee","DZ Dezigns",UPI2606181050,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-RetroScript-1_59a876e1-4c1c-4f52-908e-6cf771b4a85c.jpg?v=1785898894,"DELTA ZETA"
"DZ Dezigns","Retro Tee","DZ Dezigns",UPI2606188650,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-RetroTee-1_1df11bf5-5461-47cb-a80b-fc82e40651d3.jpg?v=1785898896,"DELTA ZETA"
"DZ Dezigns","Saguaro Tee","DZ Dezigns",UPI2606181434,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Saguaro-2_ba03e805-1187-4598-aafb-645c89df3c56.jpg?v=1785898898,"DELTA ZETA"
"DZ Dezigns","Salty Tee","DZ Dezigns",UPI2606188506,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Salty1_1d007149-24f3-439d-863f-d4bc4fb15010.jpg?v=1785898900,"DELTA ZETA"
"DZ Dezigns","Shadow Box Tee","DZ Dezigns",UPI26061846821,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-ShadowBox-1_1311a4f5-7b04-41c2-84d8-cd5999b4b157.jpg?v=1785898902,"DELTA ZETA"
