"Store Name","Product Name",UPI,"Product Category","Product Main Image URL","Primary Licensor"
"The Social Life","KAO Monogram Quarter Zip",UPI2606188845,"Sweatshirts > 1/4 zip sweatshirts",https://cdn.shopify.com/s/files/1/0177/9186/products/KAO-qzipNEW.jpg?v=1571438565,"Kappa Alpha Theta"
"The Social Life","Shipwrecked CaboBandz",UPI2606186645,"Hair accessories > Headbands",https://cdn.shopify.com/s/files/1/0177/9186/products/DG-shipwrecked.jpg?v=1571438565,Various
"The Social Life","Kappa Alpha Phi Tank",UPI2606180169,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/KAP-1.jpg?v=1571438565,"Alpha Phi"
"The Social Life","KKG Crew Sweatshirt",UPI2606183845,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0177/9186/products/KKG-crew.jpg?v=1571438565,"Kappa Kappa Gamma"
"The Social Life","Custom Pocket Spring Break Tank",UPI2606184857,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_KKGPocket-front_72eb2ee6-3e60-46d4-975b-640d328ccd66.jpg?v=1571438566,Various
"The Social Life","Kappa Muscle Tank",UPI2606185637,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/kkg-shop-muscle1.jpg?v=1571438566,Various
"The Social Life","Boxy Crop Tank",UPI2606187569,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/kkg-shop-crop1.jpg?v=1571438566,Various
"The Social Life","KKG Boyfriend Sweatshirt",UPI26061885691,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0177/9186/products/KKG-crew_22f26b89-82b9-4c59-b8b4-b4da37624ad1.jpg?v=1571438566,"Kappa Kappa Gamma"
"The Social Life","KKG Spring Break Tank",UPI2606189185,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_KKGPocket-front.jpg?v=1571438566,"Kappa Kappa Gamma"
"The Social Life","KKG Muscle Tee",UPI26061801532,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/kkg-shop-muscle1_66517793-fc1c-4b2e-88b7-e4c5cefa8c5a.jpg?v=1571438566,"Kappa Kappa Gamma"
"The Social Life","Sigma Kappa Flowy Long Sleeve",UPI2606184637,"Shirts > Long sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/EK-longsleeve-1.jpg?v=1571438566,"Sigma Kappa"
"The Social Life","DG USA Pullover",UPI2606188249,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_DG-USA_4c810505-5642-4166-b398-1f8b19568f8d.jpg?v=1571438566,"Delta Gamma"
"The Social Life","Phi Guy / Soccer shirts!",UPI2606181041,"Shirts > Jerseys",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_phiguy.jpg?v=1571438566,Various
"The Social Life","Custom Pocket Tank",UPI2606183781,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_wsu-pocket-tank1.jpg?v=1571438566,Various
"The Social Life","Custom Pocket Tee",UPI2606184313,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_wsu-pocket-tee1.jpg?v=1571438566,Various
"The Social Life","Triad Black Unisex Tank",UPI2606185053,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_wsu-tank1.jpg?v=1571438566,Various
"The Social Life","Triad Power Washed Tank",UPI2606186093,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_wsu-tank-white.jpg?v=1571438566,Various
"The Social Life","Theta Date Tank",UPI2606181469,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_ThetaDate-guys.jpg?v=1571438566,"Kappa Alpha Theta"
"The Social Life","NON Theta Date Tank",UPI2606182305,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_ThetaDate-NOO-guys.jpg?v=1571438566,"Kappa Alpha Theta"
