"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"Shop aKDPhi","Ivory Diamond Tee","Shop aKDPhi",UPI260618901210,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500141717IVORY.jpg?v=1749245207,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Script Crewneck","Shop aKDPhi",UPI26061833005,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25001318000WHITE.jpg?v=1749245294,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Diamond Sticker","Shop aKDPhi",UPI260618098013,"Promotional > Stickers",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250012STICKER.jpg?v=1749245455,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","1990 Sticker","Shop aKDPhi",UPI26061897324,"Promotional > Stickers",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250011STICKER.jpg?v=1749245638,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi",Sweatpants,"Shop aKDPhi",UPI26061878605,"Apparel > Shorts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250010973MRASH.jpg?v=1749245795,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Diamond Hoodie","Shop aKDPhi",UPI26061800043,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250009996MRASHfront.jpg?v=1749246064,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Plum Hoodie","Shop aKDPhi",UPI26061898288,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250008SS4500PLUMback.jpg?v=1749246486,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Purple Letter Hat","Shop aKDPhi",UPI26061836688,"Headwear > Billed hats",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250007VC300APURPLE.jpg?v=1749246636,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Classic Tee","Shop aKDPhi",UPI26061841167,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500061717GRAPE.jpg?v=1749246776,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Alpha Kappa Delta Phi","Shop aKDPhi",UPI26061819887,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25000518000PURPLE.jpg?v=1749247644,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","1990 Ivory Tee","Shop aKDPhi",UPI26061885968,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500041717IVORY.jpg?v=1749247798,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Script Crop Tee","Shop aKDPhi",UPI26061824366,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2500031010WHITE.jpg?v=1749247909,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Bella Shorts","DZ Dezigns",UPI26061894925,"Apparel > Shorts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250002BELLA3787TAN.jpg?v=1749248320,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Bella Crewneck","Shop aKDPhi",UPI26061805644,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP250001BELLA3945.jpg?v=1749248474,"ALPHA KAPPA DELTA PHI"
